TripID,CustomerID,DriverID,VehicleID,TotalFuelConsumption,AxleWeightAverage,TotalDistance,AltitiudeUp_dmperkm,AltitudeDown_dmperkm,Altitude_sum_dmperkm
14255371,Customer3,Driver117,Vehicle41,39.5,0,176.935,102.5235256,96.41958911,198.9431147
14255377,Customer3,Driver172,Vehicle2,35,0,177.26,101.8278235,95.34017827,197.1680018
14255408,Customer3,Driver117,Vehicle41,11,0,40.48,129.4466403,137.1047431,266.5513834
14255416,Customer3,Driver172,Vehicle2,0,0,0.625,672,816,1488
14255422,Customer3,Driver172,Vehicle2,0.5,0,0.825,836.3636364,533.3333333,1369.69697
14255427,Customer3,Driver117,Vehicle41,1.5,0,1.465,368.6006826,327.6450512,696.2457338
14255436,Customer3,Driver117,Vehicle41,17,0,56.295,81.17950084,92.37054801,173.5500488
14255444,Customer3,Driver172,Vehicle2,22,0,81.04,95.26159921,110.6860809,205.9476802
14255455,Customer3,Driver117,Vehicle41,31.5,0,121.865,80.82714479,87.30972798,168.1368728
14255472,Customer3,Driver172,Vehicle2,0.5,0,0.09,2333.333333,222.2222222,2555.555556
14255477,Customer3,Driver172,Vehicle2,56.5,0,176.26,110.802224,116.5891297,227.3913537
14255485,Customer3,Driver117,Vehicle41,21.5,0,54.8,127.7372263,134.1240876,261.8613139
14255498,Customer3,Driver117,Vehicle41,42,0,151.27,72.71765717,72.45322933,145.1708865
14255951,Customer2,Driver154,Vehicle38,10,5364,43.195,84.50052089,51.16332909,135.66385
14255952,Customer2,Driver154,Vehicle38,0,5115,0.24,333.3333333,250,583.3333333
14255955,Customer2,Driver16,Vehicle10,5,4609,6.995,51.46533238,51.46533238,102.9306648
14255956,Customer2,Driver154,Vehicle38,15.5,7156,58.19,74.58326173,47.25897921,121.8422409
14255957,Customer2,Driver16,Vehicle10,0.5,5099,0.835,131.7365269,131.7365269,263.4730539
14255960,Customer2,Driver16,Vehicle10,0.5,4417,0.08,250,125,375
14255964,Customer2,Driver16,Vehicle10,0,6643,0.28,321.4285714,178.5714286,500
14255965,Customer2,Driver106,Vehicle39,2,6365,0.715,139.8601399,167.8321678,307.6923077
14255967,Customer2,Driver154,Vehicle38,11.5,7493,23.57,140.4327535,103.0971574,243.5299109
14255968,Customer2,Driver16,Vehicle10,44.5,7433,139.895,27.37767611,27.59212266,54.96979878
14255969,Customer2,Driver106,Vehicle39,7,5926,25.405,33.45798071,32.2771108,65.73509152
14255970,Customer2,Driver106,Vehicle39,2,6162,3.245,49.30662558,126.348228,175.6548536
14255971,Customer2,Driver154,Vehicle38,0,6249,0.155,0,1741.935484,1741.935484
14255973,Customer2,Driver154,Vehicle38,5,6939,15.445,62.80349628,77.04758822,139.8510845
14255975,Customer2,Driver16,Vehicle10,6,9568,15.645,21.73218281,21.73218281,43.46436561
14255976,Customer2,Driver154,Vehicle38,4,6194,8.785,89.92601024,67.1599317,157.0859419
14255978,Customer2,Driver16,Vehicle10,8,7159,14.235,54.79452055,54.09202669,108.8865472
14255979,Customer2,Driver154,Vehicle38,22,6278,85.67,51.00968834,80.30815922,131.3178476
14255980,Customer2,Driver106,Vehicle39,35.5,6352,151.37,26.09499901,28.27508753,54.37008654
14255981,Customer2,Driver16,Vehicle10,2.5,7163,3.295,115.3262519,112.2913505,227.6176024
14255982,Customer2,Driver16,Vehicle10,0,7374,0.075,133.3333333,0,133.3333333
14255983,Customer2,Driver16,Vehicle10,0.5,9208,0.165,181.8181818,363.6363636,545.4545455
14255984,Customer2,Driver16,Vehicle10,9.5,5994,32.245,22.63916886,31.01256009,53.65172895
14255985,Customer2,Driver154,Vehicle38,0.5,6425,0.05,1800,0,1800
14255988,Customer2,Driver154,Vehicle38,14,6812,39.56,92.26491405,123.3569262,215.6218402
14255990,Customer2,Driver16,Vehicle10,0.5,5583,0.915,109.2896175,32.78688525,142.0765027
14255996,Customer2,Driver159,Vehicle40,35,7634,125.415,24.55846589,27.34920065,51.90766655
14255999,Customer2,Driver138,Vehicle5,0.5,7194,0.3,166.6666667,66.66666667,233.3333333
14256000,Customer2,Driver16,Vehicle10,7.5,4868,18.26,63.52683461,49.28806134,112.8148959
14256004,Customer2,Driver138,Vehicle5,22.5,7263,77.1,35.14915694,33.85214008,69.00129702
14256005,Customer2,Driver16,Vehicle10,0.5,5409,0.22,318.1818182,90.90909091,409.0909091
14256006,Customer2,Driver154,Vehicle38,28.5,6371,109.61,122.1603868,86.94462184,209.1050087
14256008,Customer2,Driver106,Vehicle39,0.5,6893,0.705,56.73758865,70.92198582,127.6595745
14256010,Customer2,Driver16,Vehicle10,0.5,5599,0.325,92.30769231,153.8461538,246.1538462
14256012,Customer2,Driver106,Vehicle39,21,6455,95.12,43.83936081,42.68292683,86.52228764
14256013,Customer2,Driver16,Vehicle10,0.5,5802,0.085,705.8823529,470.5882353,1176.470588
14256017,Customer2,Driver16,Vehicle10,36,5734,128.64,19.97823383,19.27860697,39.2568408
14256021,Customer2,Driver138,Vehicle5,2.5,5452,7.865,72.47298156,66.11570248,138.588684
14256022,Customer2,Driver154,Vehicle38,5.5,6828,19.505,122.0199949,99.46167649,221.4816714
14256029,Customer2,Driver159,Vehicle40,6,5196,23.43,37.1318822,33.71745625,70.84933845
14256031,Customer2,Driver138,Vehicle5,2,6658,5.495,65.51410373,45.49590537,111.0100091
14256037,Customer2,Driver159,Vehicle40,6,5401,21.585,30.57678944,35.67292101,66.24971045
14256043,Customer2,Driver138,Vehicle5,0.5,7306,1.31,22.90076336,22.90076336,45.80152672
14256047,Customer2,Driver142,Vehicle37,47,6020,172.48,26.61178108,26.66975881,53.28153989
14256048,Customer2,Driver106,Vehicle39,17.5,5857,86.495,27.40042777,28.20972311,55.61015088
14256050,Customer2,Driver159,Vehicle40,0.5,6162,0.68,58.82352941,117.6470588,176.4705882
14256051,Customer2,Driver138,Vehicle5,0,6978,0.58,34.48275862,68.96551724,103.4482759
14256061,Customer2,Driver159,Vehicle40,7,6931,21.535,39.00626886,34.82702577,73.83329464
14256062,Customer2,Driver138,Vehicle5,0.5,6923,0.2,150,200,350
14256064,Customer2,Driver138,Vehicle5,22.5,7210,77.195,33.03322754,29.40604961,62.43927716
14256067,Customer2,Driver106,Vehicle39,0,5922,0.47,85.10638298,85.10638298,170.212766
14256068,Customer2,Driver159,Vehicle40,3,6860,5.575,41.25560538,41.25560538,82.51121076
14256070,Customer2,Driver159,Vehicle40,0.5,6986,0.55,127.2727273,54.54545455,181.8181818
14256071,Customer2,Driver106,Vehicle39,30.5,6302,136.71,22.60258942,20.70075342,43.30334284
14256072,Customer2,Driver159,Vehicle40,35.5,6899,131.925,25.3174152,23.49819973,48.81561493
14256084,Customer2,Driver1,Vehicle39,17.5,6741,54.735,28.86635608,34.71270668,63.57906276
14256088,Customer2,Driver21,Vehicle40,17,6683,55.17,30.27007432,32.98894327,63.25901758
14256267,Customer1,Driver128,Vehicle31,35,9215,81.82,132.7303838,135.5414324,268.2718162
14256274,Customer1,Driver128,Vehicle31,1,9559,1,950,300,1250
14256275,Customer1,Driver128,Vehicle31,23.5,10143,60.015,101.9745064,94.64300592,196.6175123
14256280,Customer1,Driver128,Vehicle31,1,12395,1.21,528.9256198,694.214876,1223.140496
14256281,Customer1,Driver128,Vehicle31,12.5,11600,24.915,178.6072647,186.6345575,365.2418222
14256291,Customer1,Driver128,Vehicle31,10.5,13321,28.605,128.9984268,126.9008915,255.8993183
14256297,Customer1,Driver128,Vehicle31,17.5,9802,57.98,127.9751638,118.6616075,246.6367713
14256312,Customer1,Driver116,Vehicle20,8.5,0,28.23,142.7559334,98.83103082,241.5869642
14256314,Customer1,Driver128,Vehicle31,0.5,9917,0.31,580.6451613,838.7096774,1419.354839
14256319,Customer1,Driver128,Vehicle31,14.5,10957,40.835,130.5252847,130.7701726,261.2954573
14256324,Customer1,Driver116,Vehicle20,42,0,150.295,84.36741076,88.62570278,172.9931135
14256328,Customer1,Driver128,Vehicle31,20.5,6737,81.77,107.9858139,107.2520484,215.2378623
14256363,Customer1,Driver116,Vehicle20,1.5,0,1.075,1339.534884,474.4186047,1813.953488
14256370,Customer1,Driver128,Vehicle31,7,6480,22.275,139.1694725,160.2693603,299.4388328
14256375,Customer1,Driver116,Vehicle20,48,0,148.825,81.90828154,79.75810516,161.6663867
14256389,Customer1,Driver128,Vehicle31,5.5,6618,18.355,205.9384364,215.7450286,421.683465
14256420,Customer1,Driver116,Vehicle20,107,0,345.25,78.52280956,79.30485156,157.8276611
14256477,Customer0,Driver3,Vehicle30,63,10793,130.89,76.2472305,86.17923447,162.426465
14256479,Customer0,Driver6,Vehicle28,69.5,8952,128.255,113.4458696,123.270048,236.7159175
14256482,Customer0,Driver3,Vehicle30,16.5,7330,59.22,112.7997298,93.21175279,206.0114826
14256483,Customer0,Driver6,Vehicle28,19,5153,58.11,154.1903287,133.3677508,287.5580795
14256484,Customer0,Driver3,Vehicle30,73,12008,189.745,76.6818625,75.94403015,152.6258926
14256486,Customer0,Driver6,Vehicle28,59.5,7619,149.235,119.6770195,117.3987335,237.075753
14256490,Customer0,Driver6,Vehicle28,9,9797,17.315,184.8108576,177.3029165,362.1137742
14256492,Customer0,Driver6,Vehicle28,8.5,8100,22.005,133.6059986,133.6059986,267.2119973
